step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,321,1,2.6604047940278637,0.0,0.4875
2,426,2,2.607454603522344,0.0,0.4175824175824176
3,539,3,2.317006976147032,0.0,0.5
4,668,4,3.021779883550721,0.0,0.46875
5,805,5,2.8659935050400236,0.0,0.45925925925925926
6,838,6,2.4874088204465807,0.0,0.45454545454545453
7,1007,7,3.1209412488789807,0.0,0.37423312883435583
8,1136,8,2.779762806510553,0.0,0.39166666666666666
9,1385,9,2.7127626901011617,0.0,0.43983402489626555
10,1482,10,2.9814486851294832,0.0,0.44680851063829785
11,1651,11,2.669842511703748,0.0,0.524390243902439
12,1940,12,2.7333223252028094,0.0,0.45454545454545453
13,2053,13,2.341995839761304,0.0,0.5596330275229358
14,2206,14,2.3672025615937615,0.0,0.54
15,2319,15,2.945401584260253,0.0,0.3925233644859813
16,2544,16,2.912247713452026,0.0,0.42342342342342343
17,2721,17,2.619559999830513,0.0,0.4624277456647399
18,2818,18,3.1940446034626193,0.0,0.38461538461538464
19,2955,19,2.3756221269718747,0.0,0.5441176470588235
20,3036,20,2.9937168963762817,0.0,0.44155844155844154
21,3221,21,2.681111685555626,0.0,0.45652173913043476
22,3302,22,2.3550064967575604,0.0,0.44594594594594594
23,3407,23,2.6556343571282923,0.0,0.45
24,3544,24,2.117163320067715,0.0,0.5227272727272727
25,3721,25,2.2082501483118078,0.0,0.5632183908045977
26,3890,26,1.9939075000528688,0.0,0.5853658536585366
27,4027,27,1.8748490589977176,0.0,0.6102941176470589
28,4252,28,2.2785995224419042,0.0,0.4954954954954955
29,4437,29,2.3248036138594097,0.0,0.5
30,4534,30,2.77779081789663,0.0,0.4065934065934066
31,4615,31,1.8336329208410462,0.0,0.5945945945945946
32,4744,32,1.7171928118035567,0.0,0.640625
33,4881,33,1.5431668373952134,0.0,0.6222222222222222
34,4986,34,2.054094201038914,0.0,0.54
35,5163,35,1.5867674089657322,0.0,0.6091954022988506
36,5276,36,1.7147853053646809,0.0,0.5688073394495413
37,5445,37,2.2130803188015955,0.0,0.4662576687116564
38,5526,38,1.9151387410845928,0.0,0.5324675324675324
39,5639,39,1.5630307242829335,0.0,0.6018518518518519
40,5928,40,1.9977897651066692,0.0,0.5244755244755245
41,6041,41,2.025926232425133,0.0,0.4485981308411215
42,6178,42,1.50904762182571,0.0,0.6363636363636364
43,6355,43,1.7818994554755094,0.0,0.5664739884393064
44,6460,44,1.8480439644515698,0.0,0.4725274725274725
45,6709,45,1.800071520832577,0.0,0.5477178423236515
46,6862,46,1.4614615650096214,0.0,0.62
47,6991,47,2.0598691798939397,0.0,0.5
48,7312,48,2.219360619922867,0.0,0.534375
49,7345,49,1.2487816518638284,0.0,0.5909090909090909
50,7442,50,1.9629803393690963,0.0,0.5531914893617021
51,7611,51,1.7802285195152112,0.0,0.5398773006134969
52,7708,52,1.8356941060677248,0.0,0.5425531914893617
53,7877,53,1.1898678607432798,0.0,0.6951219512195121
54,8166,54,1.5539431820214353,0.0,0.6188811188811189
55,8279,55,1.5611862301740465,0.0,0.5607476635514018
56,8464,56,1.8043220152997135,0.0,0.5706521739130435
57,8601,57,1.0869401354544233,0.0,0.7196969696969697
58,8698,58,2.0677406627231436,0.0,0.4945054945054945
59,8803,59,1.3710500424987493,0.0,0.63
60,8980,60,1.0288639720231665,0.0,0.764367816091954
61,9093,61,1.1291978263016582,0.0,0.6666666666666666
62,9174,62,1.0237403160675969,0.0,0.6621621621621622
63,9279,63,1.5304682904759646,0.0,0.5494505494505495
64,9528,64,1.3378138851953478,0.0,0.6390041493775933
65,9609,65,1.2655152027078658,0.0,0.6363636363636364
66,9762,66,1.0573986326515679,0.0,0.7466666666666667
67,9875,67,1.129964938368617,0.0,0.6880733944954128
68,10012,68,0.9799521199863246,0.0,0.7185185185185186
69,10149,69,1.0142446209512006,0.0,0.7426470588235294
70,10374,70,1.6539157759657022,0.0,0.6036036036036037
71,10695,71,2.092596453622246,0.0,0.546875
72,10824,72,1.0049472281973237,0.0,0.71875
73,10953,73,1.7077546446080532,0.0,0.5916666666666667
74,11130,74,1.2886649498774536,0.0,0.6705202312138728
75,11163,75,0.7339695798698813,0.0,0.7727272727272727
76,11300,76,0.8834949741317828,0.0,0.7794117647058824
77,11589,77,1.1654838556858003,0.0,0.6818181818181818
78,11814,78,1.5012236414530946,0.0,0.6306306306306306
79,12135,79,2.0003418152250383,0.0,0.565625
80,12248,80,0.965317867520363,0.0,0.7064220183486238
81,12361,81,0.9271636020282781,0.0,0.6944444444444444
82,12442,82,0.7223313562477416,0.0,0.7702702702702703
83,12547,83,1.3150270401246995,0.0,0.6153846153846154
84,12716,84,1.3847586984941136,0.0,0.6134969325153374
85,12893,85,0.7620011607639092,0.0,0.8218390804597702
86,13078,86,1.576533211137085,0.0,0.6141304347826086
87,13207,87,0.8972464217738292,0.0,0.75
88,13320,88,1.1548902950867646,0.0,0.6261682242990654
89,13401,89,1.0236073691201455,0.0,0.7142857142857143
90,13578,90,1.1977799936046474,0.0,0.6878612716763006
91,13747,91,0.7632889320153654,0.0,0.7926829268292683
92,13884,92,0.7436402105380867,0.0,0.8106060606060606
93,13981,93,1.1030414658416703,0.0,0.7446808510638298
94,14118,94,0.8048722736729199,0.0,0.7777777777777778
95,14367,95,1.0938248099917514,0.0,0.7053941908713693
96,14472,96,1.0247794531071401,0.0,0.73
97,14569,97,1.7218507418979336,0.0,0.5824175824175825
98,14698,98,1.5935130943256524,0.0,0.625
99,14851,99,0.8833253963305315,0.0,0.8
100,14884,100,0.633809834648855,0.0,0.8636363636363636
101,15173,101,1.1053520069719411,0.0,0.6958041958041958
102,15270,102,1.10597021130161,0.0,0.7340425531914894
